CEFR_Level,Text
A2,"My birthday In march I will 61 years I will be a party in camping club, thera are dancing , music ,bingo, with many presents, sailing, table tennis , because many people like playing tennis and competition of ride bike and running. Have to eat several foots , rise ,bean ,barbecue, salad, and draught beer and wine. Thera are flowes the coutryside."
A1,"Monte Dourado is my hometown, it is a very beautiful city but it is so far of the city where"
A1,Why don't you buy orange summer skirt. I think you should buy a red hat and a purple top of $15.00. the sweatshirt don't very expensive.
A1,Report:
A1,"Hi! Brigit. Are you ok? Nice to meet you. My name is Claudenor. I''m from Fortaleza. I live in So Paulo, Brasil. I'm thirty-five. There are six people in my family: my mother, my father, my brothers, my sister, and I. My mother shes died, my father's sixty-five, my brothers forty, and twenty-five, my sisters forty-four. My father and sister live in Fortaleza, Cear. My brothers and I live in So Paulo. I can speak Portuguese and English. I can ride a horse and I can swim too, but cant cook and sing. Bye! Claudenor"
A1,"The online catalog has white sneakers for 79.00 dollars in size 9.0, white shirt for 30.00 dollars in size M, shoes for your mum will cost 59.00 dollars, a red shirt for 69.00 dollars, the belt will cost 29.00 dollars in size M, the pants cost 39.99 dollars in size L and the blue shirt cost 30.00 dollars in M. Is that ok? Shall I buy it for you?"
A1,Name: Adriana Araujo
A1,"Hi! You want some of the product? The online catalog has sneakers $ 79,00, T-shirt $ 30,00, shoes $ 59,00, sweater $69,00, belt $ 29,00, pants $ 39,99 and shirt $ 30,00. Bye! Takano"
A2,
B2,
A2,"I first met my colleague, Michele, in my first day at school, I was nine years old. I'm alone at time of snack"
A1,"Hi Maria. My name's Ali , I'm from Saudi-Arabia, I live in Jeddah Saudi Arabia. I'm thirty- theree years old. I'm techer. There are four people in my familly. My mother , my brother , my wife and I. My mother is fifty , my brother is nintey. My mother lives in Jeddah, my brother lives in Taif Saudi-Arabia. My wife is twenty-five years old. my wife and I live in Abha Saudi-Arabia. Thank you Ali"
B1,"Paula and I recently ate at a nice restaurant called Veridiana. I had called to make reservations, and"
B1,"I would like to make a formal complaint about the Blue Cruise Alaska. It was not a cruise ship, but a little boat. The ship had problems with its engine. My cabin was not well cleaned and there were many ants inside it. Bathrooms were dirty too. Beds were so uncomfortable, so I did not sleep well. The captain was unfriendly and unprofessional. He woke up late every morning. We didn't see most of the animals advertised. There were extra hidden charges, like insurance."
A2,"My boyfriend had an accident last year. When I called him, he was climbing the steps, and he turned around to me. Suddenly he fell down the steps and broke his ankle. He also sprained his left wrist and bruised his back badly. He had to go to the hospital, and he stayed there for two days. He had to stay at home for one week, and I took care of him."
A1,I like the mall over there
A1,The city of Belem
A1,Cooking Is My Favorite! I enjoy cooking for my little family. I cook the food almost everyday. Some times I make sweets and bake breads. I surf the Internet
A1,Name: Melissa Pan Age:45 Hair color: Black Eye color: Black Describe yourself: I'm short and fat. I have short black hair and small black eyes. I'm happy.
A1,I like the shops
A1,"Hi, my name's Fabiano. What your name? How are you? I'm an english student at Englishtown. This is my first e-mail. Nice to meet you! Thank you! Bye"
A2,"Dear Julia, I'm very angry because I did most of the chores this week. Let me tell you what I did! I did the ironing on Monday. I made the beds on Tuesday. I made dinner and made the beds on Thursday. I swept the floor, mopped the floor, made the beds and did the shopping on Saturday. I did the laundry and vacuumed on Sunday. Especially, I washed the dishes on Monday to Saturday. It's very clean and comfortable now. cheers, Lynn"
A1,I really like my red shirt with black buttonsmuster. I like my silver shoes for the summer days. And
A1,
A1,Dear Ms
A2,"On December, 31 meeting of the new year will take place."
A1,"Hi ! My name is Diogo. I'm twenty-five years old. I'm from Brazil, in Rio de Janeiro. Bye."
B2,"Hi, Anna! I''ve found an absolutely amazing job which is perfectly suitable for you. Let me tell you why you should apply. It is an amazing and varied job at the gorgeous Flossington Zoo. One of your trustfully tasks is to prepare the food for the different animals and to feed them on a daily basis. In addition to this you will go on exhilirating and dangerous trips to Florida to observe wild crocodiles. Of course you will get a full accident insurance at a absolutely well salary of $50,00. Besides you will get one month holiday every year. I encourage you to apply for this job because it is absolutely amazing and perfectly meets all your conditions."
A2,There are many
A2,"The last movie I saw called Dark Shadows is a 2012 Americam horror comedy- drama. The film is directed by Tim Burton, I love your movies. The main character is played by Johnny Depp, I think he's one of the greatest"
A1,Hello!
A1,My name is Mauricio.
A1,"Hi, my room is finished. It's beautiful! There are two big, blue soafs in the living room. There is a new table between the soafs. There is a beautiful picture on the wall. There are three windows with brown and red curtains."
A1,Hi! My name is Amanda.
B1,"Hello, kids! Here are the short instructions for Frisbee Bowling. Use these ten plastic bottles and fill them with water so that they become heavier. Line up the bottles in four rows: put 1 bottle in the front, 2 bottles behind the first one, then 3, then 4. Like a ten-pin bowling. We are playing a ten-turns Frisbee. One point for each pin wich is knocked down. Each one of you who score a strike is allowed to shoot two more frisbees. Each one holds a frisbee and takes two shorts per turn. Ten turns per player. The winner is the one with the most points. Ah! Don't forget to give a distance to the pins. Eight meters are enough. Nice game!"
A2,"Hi my name is Nayara, I'm student in a University of So Paulo. Every day I go to"
B2,After Earth There are a plenty
A1,Hi!
A2,
A1,Hello
A1,"In the office, there are a lot of desks and chairs. In the desks there are a few computers with white"
A2,"clean the house every week , make the bed every morning , make the breakfast at 8 o'clock , make the lunch at 1 o'clock . make the dinner at 9 o'clock , clean cloths and laundry every week . do the garden every month and mop the floor , set every table and wash the dishes every night."
C2,"Robots Picture this, an escort robot, no less. Juan shows how much the links between science fiction and science fact are coming closer together. He wings and he allegedly even burps! That could be bad press for robots everywhere! Future developments will include him looking more humanoid. HT and his team in Asia will be working on this project over the next five years. Florence is a great example of a dedicated service robot. She works in the health field in Africa. AO wants to work with Hiro's team. She hopes they will have developed a personality program for Florence to help"
A1,"Hi, My name's Lora.I'm from Lithuanija.I speak Lithuanian and Russian. I have a sister.Her name is Tanya.She lives in Lithuanija.She's a teacher. My favorite food is vegetable salad.I like Italian food.I don't like fish."
A2,"I did ironed the clothes, on monday. On Tuesday I washed the dishes and made the beds. On Saturday I swept the floor, I mopped the floor, washed de dishes and made the beds. On the Sunday although very tired, I did the laundry. Really Julia, I need you to help me a little more."
A1,The most popular sport is soccer. A
A1,"The city of Daejeon, in Korea"
B1,Company name: MAC
B1,"Mark an area about 8 meters x by 3 meters as bowling alley. Use ten plastic bottles as the bowling pins - Filled its with a little water to make them heavier. Line up the botthes in row of 4, then 3, then 2, then 1 - just like ten-pin bowling. Each players is given a frisbee and is allowed to take two shots on each turn. One point is scored for each pin that is knocked down. Players is talked two more shots if all the bottles are knocked down and the points are added together. Winner that has more points."
B1,Thank you for
A1,"On saturday, in the morning, He goes swimming at 11:30. In the afternoon, He eats lunch at 12:30 and reads emails at 4:00 o'clock. In the evening, He eats dinner at 6:00 o'clock. At night, He watchs TV. On sunday, in the morning, He goes to the park at 11:00 o'clock and plays tennis. In the afternoon, He goes shopping at 3:00 o'clock. At night, He goes to the cinema at 8:00 o'clock and goes to bed at 10:00 o'clock."
A1,The  he famous lights. They have popular music and very different
A2,"First I met my boss. I met my boss at the Regional Forum of Campo Grande, she is a judge and very cool, super smart sweet person. She is white,"
A1,"Hi!Even,"
A1,My name is Gerardo. I'm not
A1,Hello
A2,"Hi polaris, Don't feel alone, unfortunately this kind of problem is common nowadays. You should find another way to feel good, everybody needs to do regulary exercise activities, how about doing some sports, what kind of sports do you like? About your shopping, you have to stablish goals, for example: each month you'll buy 90% relative the last month, you should to do it until solve your's money problem. I know, you can do it. Renato."
A2,Do the alundry on Monday morning. Set the table every day at 7:30 pm. Ironing on Friday afternoon. Play soccer Wednesday at 8 pm. Feed the dog at 9 am every day. Walk the dog after feed it around an hour. Do the housework every day. Mop the floor each 3 days. Wash the dishes every day in the morning.
A1,
A1,In my office
A1,"In my country, the price of gasoline is"
A1,Welcome to my home. There are many things neer the home. Next to the home there is a departmet store. Opposite the departmet store is a swimming pool. Enjoy your.
B1,We use ten plastic bottles
A2,My name is Catherine Lu. I graduated from Taiwan University. I
A1,Hi
A2,"Hello, Angela: I"
A2,I was born in 1966. My father died when I was 8. After I graduated
B1,"Last year I went to Miami-USA with some friends to find out how Americans have fun. We were having a good time until we decided went to a PUB. We thought it wouldnt be a problem went by car, drink a lot and drive back to hotel. But we were not counting with a police car on our way back, and guess what, we were stopped. When the officer realizes how drunk our driver was he arrested everyone on the vehicle. But look how luck we are, the commissary was an old friend of mine, so he just gave us an warning about how dangerous drive drunk is and set us free."
A1,Hi
A1,Dear Friends! I will cook for you chicken and vegetables. I am not sure about dessert but I hope you like my secret recipie of strawberry's ice cream. Kind regards. Jesus
A2,"Hi,"
C1,Congratulations! You found your new apartment!
C1,"Gooday everyone, I know I can make a good student council president. I'm a hard worker and I'm not afraid to face any difficulties who crop up. I'll convince the principle to upgrade our computing networks. I'll also raise money for our basketball team and buy new equipment. I think together we can do anything to improve our environment. I cannot encourage you enough to be part of the game of picking up litter at the weekends to keep our campus clean. I'll persuade our principle to get some new books in the library. I'm dedicated to make of this school a better place to learn. Together we can make it. I'll urge you to vote for me. I can assure you support all the time of my presidency."
A1,"Hi Kellin, I'm"
A2,I'appointements. And I often take breaks with my
A1,"My suggestion is that,"
A1,I always shop online. It's very
A2,"To: xxx@future.com From: xxx@future.com Subject: So Paulo networking event Dear Charles, I was told"
A1,Hi
A1,My neighborhood is very busy. People are not very friendly. There is a supermarket next to my house.
A1,"Good afternoon Ladies and Gentleman, I know that some you dont know me, my name is Felipe, i'm the new contract coordinator and i'm here to talk you about the contract structure of our company. So, firstly i will tell you how Contracts works. Then, i'm going to talk about our contracts, how many they are and the diferent beetween them. To finish, i'm going to explain to you our situation about this issue now a days, specially how can we improve our relationship with the clients and how can we avoid huge problems at the future. I hope you enjoy the presentation. Feel free to ask every thing that you want. The most important is to make this issue as clear as possible."
A1,"Hello my EnglishTown writing teacher ! I don't work. I'm pensioning. For mi all days are favorite day. I get up at 6 o'clock. I take my medicine , I take with dog a walk, i have breakfast after my meditacion. If I wont,i go to sauna. I have lunch, after sauna I have any silencio, I'm sleeping. with my friends I'm drinking coffee in the aftonoon. we are dancing. All friends go to movies after dinner at my home. I 'm happy, we all are happy.....if we are healtly regards sschmalz6"
A2,"The B company made incredible clothes that were popular in Taiwan. Owing to their high quality and unique style, the cost"
A1,"A new code of conduct Abide by the dress code (do not can wear jeans) Need use the area smoking for smoke; its prohibited in toilet and inside the building. Keep your workspace neat and tidy Arrive to work on time Do not disturb colleagues with loud music Do not disclose confidential information (do not bring your job at home) Do not discriminate the members of personal Every day, we have to respect a code conduct, its very important for a good ambience inside our company. If you dont respect the rules, you can receive a letter of dismissal. We hope all employees respect the chart, we thing that it is preferable for continuous a long relationship. Your direction"
B1,1. I want to get married and
A2,"The company XYZ were the best in your segment, but your owner is old and live in the past. He needs"
A1,I'm tall and
A2,
C1,to arrest in you house is. meetings and flirt and do other friends for socialize and the old
A1,Al Adha is my favorite holiday all
A1,I never shop in malls. The electronics and the clothes are very expensive
A2,
B1,"Thank you for submitting your email, I responded about the question to study online:"
A2,"HI MUM AND DAD, I'M"
A2,Hi Joanne
A2,"Hi Paul,"
A2,We ready a party. It's thursday 6th may 1pm. In the No.# yellow street. We have ready chicken and sandwiches. Drink is water and wine. there are 30 people. We have dance music. Thank you for coming
A1,"Blue Sky To: clients and shareholders CC: GM, Blue Sky Subject: Logo change Dear Friends, I am writing to you all to inform you of the change of the company logo. As a result of market"
A1,"Hi , My name's John Guo, I'm twenty-three years old. I'm from Shandong, China. But I living SuZhou. In my spare time, I like to travelling,read books and play badminton. Nice to meet you. Bye! John"
A1,This pink jacket is 12 dollars. This dark balck dress is 20 dollars. That orange dress is 25 dollars. These shirts are all 30 dollars. These skirts are all 18 dollars.
A2,"I met my best friend, Eduardo,"
A1,"The Rock Festival is my favorite. This big festival lasts for one week, and happens in Rio de Janeiro - Brazil. Rock City"
A1,"Chengde is very cold in winter,"
A1,The online catalog has sale. They have white sneakers for 79 $. They have white T-shirt for 30 $. They have black shoes for 59 $. They have brown belt for 29 $. They have pink sweater for 69 $. They have grey pants for 39.99 $. They have blue shirt for 30 $. Do you want my to buy these clothes?
B1,"Hi: I'm flattered by receiving this letter. But I have to tell you that I have married and have two kids. I'm sorry I didn't tell you in the begining. I think you are a nice person, handsome and gentleman. Besides, you have a good sense of humor and you let everyone surrounding you happy. I'm quiet certain that you will meet somone who is better than me and adore you. Best wishes!"
A1,"Hi, my room is finished. It's beautiful! There is a bed in the middle of the room. Opposite the bed is a TV. Next to the bed is a table. There is also a big closet."
A1,Hi! My name
A1,"Hi. My name's Lucy. I'm a manager. I work in an office. My favorite day is Sunday. I get up at 10 o'clock in the morning on Sunday, have a shower, brush my teeth and go running. I have lunch at 12 o'clock. In the afternoon, I play tennis. In the evening, I meet friends. We eat in a restaurant, then go to the show and watch a movie. I go to bed at 11 o'clock. I love Sundays."
A2,"Dear Karl, Thank you so much for coming. It was great! I had a really good time with you. I hope to see you and your family again soon. Sincerely, Fernando"
A2,"There are three people in my family. My husband,my son and I.My husband is a policeman.He has short straight black hair.He has big black eyes and big straight nose.He is handsome.He is wearing a green sweater and a black pants.My son is wearing a grey sweater.Has small black eyes.He looks like me.I am wearing a black shirt and a grey skirt.We are sitting on the sofe.We are happy!"
B2,"Welcome to the Transformer Translator, the New Generation from Technoholics Together Mag!"
A1,shirt twenty-nine U.S. dollars Dress fifty U.S. dollars jeans concomitant forty U.S. dollars scholarship thirteen U.S. dollars Shoe twenty-five U.S. dollars
A1,"Hi, how are you?"
B1,"For a sore throat, a spoonful of honey and ginger mixed together and drink it hot can make your throat more comfortable. The best remedy for pain is a tea made from white willow bark and cayeen pepper. Apply it to the area to release your hurt. Garlic and Echinacea tea for infections that are natural antibiotics and good for your health."
A2,My name is Gaspare.
A1,"Hi, my name's Deidvan i life in the city of Nioaque, in station of Mato Grosso do Sul in the Brasil. I'm enjoying learning english and also like the school online."
A1,"I get up at 7 o'clock in the morning. I have breakfast at 7:30, and get to work at 8:30. I usually go by car. I have lunch at 1 o'clock. I go home at 8 or 9 in the evening."
A2,"Anna, I get up at 7 o'clock I make my bed ,I do my house work. I do the gardening monthly in the morning ,and I go shopping once of the week. I walk the dog every day .I set the table before dinner I make dinner because I'm very hungry and I wach the dishes after dinner. In the evening I watch TV, sometimes I go to watch movies. I am happy, Bye"
A1,
A1,My hometown is Goinia
B2,Roger has been a tester in our team for three years. He is always working hard and flexible over time for many urgent testing cases especially he is glad to support all
B1,&quot;Home Improvement&quot; was sung by Josh Woodward. Its tune is
C1,"My city, Florianpolis, is well known for its beaches and humble style houses which were influenced by the Aorian"
A2,"Dear Julia, I'm very angry because I did most of the chores this week. Let me tell you"
A1,"I sometimes go to the mall, I prefer to buy online because"
A1,"Hi Teacher, My name is Edson Timm. I'm twenty-five years old. I'm from Big River Farm, but I live in Curitiba, Brazil. I like to play Xbox 360, it's very nice. Nice to meet you! Goodbye! Edson Timm"
A2,Last week we visit Endys Place in the Main Street. This is a beautiful restaurant. Here especial well. We meet some
A1,I always shop in small
A1,Name: Esmael Carlos
A1,"Hi! dear teacher, item price list: orange backbag, it's 105 dollars. Light yellow backbag, it's 50 dollars. Pink jacket, it's 90 dollars. Black jeans, it's 80 dollars. Red pants, it's 30 dollars. red dress, it's 60 dollars. Blue shoes, it's 99 dollars. All right. Please teacher out my error. Thank you!"
B1,Hi
A2,May 25 Hi Hessa!
A2,"Hey,Aunt Jane! It's a good job! Now I give you some advice about your questions. E-ticket is a ticket is printed from home from your computer to prove you bought a ticket. And there are some other documents you need. Such as passport, arrival card and boarding pass. You should give your passport to ticket agent , give boarding pass the flight attendant at the airport, give your arrival card to customs offiver. Good journey. Yours David"
B1,"Dear Mom and Dad, I am so happy to write you again! I would like to say that is a good moment to think about life. I'm only 26 years old"
A1,"Hi, My names Monique. Im from Brazil. I speak Portuguese. I have two brothers. Their names is Hugo and Bruno. They live in So Paulo. I dont have sisters. My favorite food is Pizza and chocolate. I dont like eat meat."
A1,
B1,"Hello, mysterious writer."
A1,Cianorte is a small city. There are some parks and a lot of
A2,My name is Paulo. I'm
B1,
A1,Most people in my country love watching and playing soccer. Some people like watching basketball and
A2,"This's my family:my husband,my daughter and me. My husband is tall and fat.He's wearing a white shirt and blue pants in the picture.I have long straight black hair. I'm tall and thin.I'm wearing a white dress.My daughter is very tall and thin.She's wearing her pink jacket with black jeans.She's always smiling in the picture.She looks like me! We are a very happy family!"
A2,A play quot;Dona Flor e Seus Dois Maridosquot; at Palcio das Artes. On Saturday with two sessions at 6p.
A1,"Magda is my best friend. She's intelligent and hardworking. She has black hair and eyes. She is small, but"
A1,Taichund is big and busy.
B1,Company name: VisaGlobal Ltd
A1,I always go to small shops. Small shops are really cheap and there are a lot of sales. The clothes are nice. Sometimes
A1,The carnival festival in my country is big.
A2,"I was in another country,"
A2,Name:Maja Lanfer I was born in 1970 i studied History in 1990 I was greaturated in 1995 so i worked in a Librery in Las Vegas . I merried in 2003 a few years later my son Jack was born so I can't work all over the day.My husban worked much the time.Susan my daught was born in 2010 and today we are a little happy family.
A1,"My name's Rony. I like play the drums and computer games. I don't like watching sport on TV, but I like running. I can speak two languages, portuguese and little english."
A1,"Dear teacher : My name's gu jiang tao, my home is in hu bei. I want to learn English ,But it's difficult to learn,Hope to have a harvest . Your students gu jiang tao 2012.07.15"
A1,My favorite festival
A1,Code of Conduct Employees must obey these codes of conduct at all times:
A2,"Hello, I always get up at 7:30a.m."
B1,"In, generally, I'm very optimistic about the future. The"
A1,Hi. my name is Amauri. nice to meet you. I have 32 years and I like english. I sorry a long time.
A1,Hi my friend!
B1,
B1,"Hi Tim, I am fine,thank you. It's very nice to know about your things. I had a nice time last week.Our company had a party in shanghai last Friday. In the afternoon we went to shangahai from kunshan by bus. And then we had a basketball match. It's so exciting because Our team win the match. After that we had a rest at the hotel. At 18:00, We had a dinner in the modern and specifical hotel. The food was very delicious and the program was very exciting.That's a beautiful night! Look forward to hearing form you soon. Hey,"
A1,"Dear Ms Thomas There are 13 computers and keyboards in the office. Also, there are 15 earphones, 20 chairs, 30 pens, 40 pencils, 15"
A1,Hi! My name is Andre. I am thirty-three years old. I am from Brazil and I live in Rio de Janeiro. I am an engineer and I like my Job. Andre
A2,
A1,"Hello, Brend. I sorry about the weather. You should go shopping and go"
A1,Juiz de Fora is a big city. There are a lot of big
A1,I live in So Jos dos Campos. It's an exciting and beautiful city.
A2,"They talk all night and they fall deeply in love, but Isabella is going to be married to an awful man named Tom, who she doesn't love.... In the next day they met again and they talked about"
A2,On 30th of July in Naples at 8 p.m.
A1,
A1,"I'm from Taiwan and live in new Taipei. I live downtown,"
A1,
A2,"My name is Jenny, I'm a teacher. I work in"
A1,
A1,I like my pink t-shirt. I also like my black dress and my jeans. I like purple skirt but I really like my blue shoes.
A1,offer
A2,"Dear Sam,"
B2,"I've attended in topics, so the"
A1,"These skirts for U$15,00 each"
B1,"To whom it may concern: I am writing in response to your online ad for a computer programmer. I have experience in this business and I am very interested in the position. I am hardworking,"
B2,"Hello Ian, I hope you are doing it well. I've been looking up for information about claustrophobia in the web. I wasn't aware of how hard it could be. The good"
A1,"Hi Karen, My name is Thiago. I'm from"
A1,The Cracker
C1,"Location : Rue esquermoise , Lille Rent : 581 per month Size : one bedroom , one bathroom , one living room Features : good views , quiet , wood in floor , large windows"
A1,"I'm Daniele. Staying in shape is very important to me. I exercise from Monday to Saturday, I do"
B2,At the beginning of the meeting the Consultant explained his project: the supermarket needs a change of the
B1,First
A1,Hello! My name is Caroline. I'm from Brazil. I live in Salvador. I'm fifteen
A1,
A1,Hello teacher!
A1,"Hi,"
B1,To whom it may concern
A1,My name is Maneerat. I come from Thailand. I am
B1,I'm not sure about will happen in the future. I think that if the technology
A1,My name is Laydsmar.
A1,"Hi! I'm in the clothes store and I want to know if you want to buy something, there are the following: running shoes number 9 at $79.9, shirts $30.00 black shoes number 9 $59.00 Shirt S $69.00 belts M $29.00 pants L $39.99 T-Shirt M $30.00 Let me know Regards"
A2,"Grimm's Fairy Tales Title: Grimm's Fairy Tales Author: Jacob Grimm, Wilhelm Grimm Type of story: Fairy Tale Setting: 1800s/ Germany Main characters: Cinderella, Snow White, Dwarfs, Princes, Kings, the Stepmother, the Witch, etc Plot: The prince encounters a poor but beautiful girl and rescues her from a evil witch. Finally, the prince marries the girl. Jacob Grimm and Wilhelm Grimm collected German folk tales and compiled them into a book at the beginning of nineteenth century. The book contains many fairy tales like &quot;Cinderella&quot;, &quot;Snow White&quot;, &quot;The Frog King&quot;, etc. It is a world-famous book and it influences many countries in the world."
A1,"Hi Sue, Sorry, I'm busy. Right I brush my teeth. I have very problem at school, family and my job."
A1,Dear Thomas
B1,"My dream is to be a teacher in primary school. At the moment, I am working as a teaching assistant and have 7 years experience. However, if I want to be a teacher I have to finish my degree and a year of school based training. Teaching is a noble, honourable job and you can make difference in the world. Because, today they are children but in future they are the people who rule the world. My intention is teaching young kids"
A1,I think you should buy new clothes! The purple top is very nice. How about the blue sweatshirt? The white
A1,Dear Ms
A1,"Hi! This is the menu for our dinner. We have vegetables to start. We have chicken, fish and rice to main course. We have ice cream, chocolate and fruit to dessert. So, i hope you like it."
B1,In my country the educational system is not good. The public education is bad. The private education system
A2,
B1,To whom it may concern: I am
A1,"Hello my name is Esmeralda. I m thirty- four years old. I from Mexico. I Iive in Villahermosa Tabasco city. There are six people in my family: my mother, my father, my uncle, mi brother, my sister and I. My mother is fifty -five and my father is sixty four, my incle is fifthyn he live in my house, my brother and my sister live in cd del Carmen Campeche. How about you? How many people are your family? Write soon."
A2,"I am very angry because I did so many chores this week. I ironed on monday. I washed the dishes and maked the beds on tuesday. I have maked dinner, washed the dishes and maked the beds on tursday. I have sweeped the floor, moped the floor anf washed the dishaes on saturday. I did the laundry on sunday."
A1,Hi! My name's Enrique. I'm thirty-three years old. I'm from Mxico City. Nice to meet you. Bye!
A2,"Yes, It will be a great party. Well, We're in San Diengo, I can't surfing because I can't swim. I don't like scuba dive because is too dangerous. I don't like sailing because is too boring. I love playing soccer because It's exciting and fun. I can't play any musical instruments. But It's very fun."
A2,"Hey, Dillan. In my birthday I would like and I wouldn''t like to do: I can''t go surfing because I think it''s dangerous, but I like to go to the beach. I like scuba dive because it''s fun. I like sports but I prefer football. I don''t like badminton. I can''t play musical intruments but I think it''s fun. I like to fly model airplanes. Do you like model airplanes? Bests wishes, Ricardo"
A1,"I live in Duque de Caxias, Brazil. It's a medium city. The city has a lot of"
A2,"Dear friend, Welcome in our cuntry Canada. We are happy to be with us. We have some Canadaian Cultures in our cuntry. I want to tell you about traveling tips. Be cerful you shouldn't yell down the street to a friend. That is viewed as inappropriate. When you visiting someone you shouldn't stay too late. And remmember they expect you choose the right time to go. If you are staying in a big sity, you shouldn't go out alone at night . It's dangerous. You shouldn't smoking in public. We don't like it. Also remeber when you visit somone bring small gift with you. If you take your children with you, you should control them. It's considered impolite to alow them to run and screm insid public place. When you go to store you should stand in line and wait your turn. It's considered bad to puch others. Fainally, we hope you enjoy in our cuntry. khawlah,"
